Timestamp,1st Choice,2nd Choice,3rd Choice,4th Choice,Name
6/29/2021 10:06:01,Bukit Panjang/ Towkay,Bukit Panjang/ Spatial Analyst,Bukit Panjang/ Journalist,Bukit Panjang/ Influencer,Student 1
6/29/2021 10:06:05,Taman Jurong/ Journalist,Bukit Panjang/ Journalist,Commonwealth Crescent/ Journalist,Our Tampines Hub/ Journalist,Student 2
6/29/2021 10:06:06,Bukit Panjang/ Influencer,Bukit Panjang/ Town Planner,Commonwealth Crescent/ Influencer,Commonwealth Crescent/ Town Planner,Student 3
6/29/2021 10:06:09,Taman Jurong/ Spatial Analyst,Bukit Panjang/ Spatial Analyst,Commonwealth Crescent/ Spatial Analyst,Maxwell/ Spatial Analyst,Student 4
6/29/2021 10:06:09,Commonwealth Crescent/ Towkay,Commonwealth Crescent/ Town Planner,Commonwealth Crescent/ Influencer,Commonwealth Crescent/ Journalist,Student 5
6/29/2021 10:06:14,Commonwealth Crescent/ Influencer,Commonwealth Crescent/ Towkay,Commonwealth Crescent/ Town Planner,Commonwealth Crescent/ Spatial Analyst,Student 6
6/29/2021 10:06:17,Bukit Panjang/ Towkay,Yishun Park/ Towkay,Taman Jurong/ Towkay,Our Tampines Hub/ Towkay,Student 7
6/29/2021 10:06:21,Geylang Serai/ Influencer,Our Tampines Hub/ Influencer,Maxwell/ Influencer,Yishun Park/ Influencer,Student 8
6/29/2021 10:06:22,Taman Jurong/ Influencer,Taman Jurong/ Journalist,Bukit Panjang/ Influencer,Bukit Panjang/ Journalist,Student 9
6/29/2021 10:06:23,Yishun Park/ Influencer,Yishun Park/ Town Planner,Yishun Park/ Journalist,Yishun Park/ Towkay,Student 10
6/29/2021 10:06:23,Taman Jurong/ Influencer,Bukit Panjang/ Influencer,Commonwealth Crescent/ Influencer,Our Tampines Hub/ Influencer,Student 11
6/29/2021 10:06:24,Taman Jurong/ Influencer,Taman Jurong/ Town Planner,Taman Jurong/ Journalist,Taman Jurong/ Spatial Analyst,Student 12
